stress,phi_mean,phi_std,n_L,collapse_mean,collapse_std,chi_mean,phi_var_mean,phi_var,collapse_grad,critical_score
0.8,0.9490859375,0.007749385686338454,4,0.09668710937499983,0.031680170821297815,0.09668710937499983,0.00020179565429682497,0.00020179565429682497,1.0096484374999977,2.517792480151708
0.82,0.9552265625,0.007647055490990683,4,0.07649414062499997,0.01850183419147646,0.07649414062499997,0.00020371264648435004,0.00020371264648435004,0.9174023437500012,2.2859613235770584
0.84,0.9620234375,0.008396015881493657,4,0.05999101562499987,0.013670930108717389,0.05999101562499987,0.0001245153808593499,0.0001245153808593499,0.5954687500000004,1.175297646963416
0.86,0.9675859375,0.008052859829420252,4,0.05267539062499993,0.0027833695034333947,0.05267539062499993,0.00012371459960935,0.00012371459960935,0.5774707031249952,1.0949839542315767
0.88,0.9743437500000001,0.005070723773125131,4,0.03689218750000005,0.008928286881626597,0.03689218750000005,9.151562500000006e-05,9.151562500000006e-05,0.31807617187499915,0.4418551463687983
0.9,0.97846875,0.005428152885650909,4,0.03995234374999995,0.014463146272428281,0.03995234374999995,9.854492187499999e-05,9.854492187499999e-05,0.048730468750001754,0.24341896558302634
0.92,0.98275,0.0032141451688849033,4,0.03494296874999998,0.010022596337139283,0.03494296874999998,7.183789062500006e-05,7.183789062500006e-05,0.4382910156250005,0.38974482895157925
0.94,0.9850859375,0.0035501774273442982,4,0.022420703125,0.004327675475866238,0.022420703125,5.737084960937502e-05,5.737084960937502e-05,0.29965820312500246,0.032518958335078355
0.96,0.9892109375,0.0020709069508209918,4,0.022956640624999976,0.009052101287531398,0.022956640624999976,4.5443115234375067e-05,4.5443115234375067e-05,0.1982910156250004,-0.16687252506405784
0.98,0.991296875,0.0012409831032290305,4,0.014489062499999974,0.002400826544954569,0.014489062499999974,3.3901367187500064e-05,3.3901367187500064e-05,0.14459960937499988,-0.3813790311719557
1.0,0.99246875,0.002531314299594852,4,0.017172656249999977,0.008583455718812997,0.017172656249999977,4.8123046875000036e-05,4.8123046875000036e-05,0.12741210937499992,-0.26183266185167836
1.02,0.9947734375000001,0.0020312299678499866,4,0.009392578124999974,0.0028492418853598846,0.009392578124999974,2.574584960937504e-05,2.574584960937504e-05,0.20061523437499987,-0.4288235899046959
1.04,0.9961015625,0.0008413836415641052,4,0.009148046874999975,0.0026635492158876848,0.009148046874999975,2.245971679687504e-05,2.245971679687504e-05,0.11126953124999987,-0.5504147637700298
1.06,0.9972265625000001,0.0004755581972360033,4,0.004941796874999975,0.0013514829426248267,0.004941796874999975,1.1020263671875023e-05,1.1020263671875023e-05,0.11996093750000053,-0.6673065958973856
1.08,0.9978359375,0.0006298638865858499,4,0.00434960937499995,0.0015237253333858054,0.00434960937499995,1.1332763671875009e-05,1.1332763671875009e-05,0.042207031250001234,-0.7498386291894898
1.1,0.9979453125,0.0003922881262010408,4,0.003253515624999925,0.0005220595591197034,0.003253515624999925,8.148193359374987e-06,8.148193359374987e-06,0.032304687499999346,-0.7945972402736915
1.12,0.9983828125,0.0011158117257367359,4,0.003057421874999975,0.000896091933665736,0.003057421874999975,7.813232421875004e-06,7.813232421875004e-06,0.00018554687499924838,-0.8321485928190221
1.14,0.998359375,0.0007609872288678992,4,0.00324609374999995,0.0018929305415562505,0.00324609374999995,9.305664062500011e-06,9.305664062500011e-06,0.028017578125000345,-0.789562800093673
1.16,0.998984375,0.00044597447142928105,4,0.00193671874999995,0.000900955710013727,0.00193671874999995,5.645507812499988e-06,5.645507812499988e-06,0.050966796874999956,-0.8057693233912506
1.18,0.9993515625,0.00028341183042527316,4,0.0012074218749999499,0.00025413050993676906,0.0012074218749999499,3.0495605468749916e-06,3.0495605468749916e-06,0.016474609374999984,-0.8684239549736132
1.2,0.9994296875,0.00021404919362535328,4,0.00127773437499995,0.0004933515913050816,0.00127773437499995,2.6530761718749864e-06,2.6530761718749864e-06,0.003515625,-0.8846035957617001
